"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BITS";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"CODE__IPC";"CODE__JEDEC";"CODE__JEITA";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMP_TYPE";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"F__NOM_VOLTAGEMAXMHZ";"HIGH__RELIABILITY";"ICC__NOM_VOLTAGEMAXMA";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_TYPE";"IPC_LAND_PATTERN_NAME";"JUNCTION_CAPACITANCE";"LEAD_FREE";"MANUFACTURER_PRODUCT_PAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_REV";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMPERATURE_RANGEC";"OUTPUT_TYPE";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_TOP_MARKING";"PACKAGE_VERSION";"PACKING";"PIN_0_0_0_OUTSIDE_EDGE";"PIN_0_1_0_OUTSIDE_EDGE";"PIN_0_2_0_OUTSIDE_EDGE";"PIN_0_3_2_OUTSIDE_EDGE";"PIN_COUNT";"POPULARITY";"POWER_WISE";"PREFIX";"PRICE";"P_MAX_W";"RATING";"RELEASE_DATE";"REVERSE_STAND-OFF_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TPD__NOM_VOLTAGEMAXNS";"TP_SIGNAL_NAME";"VAULT_GUID";"VAULT_REVISION";"VCC_MAX_V";"VCC_MIN_V";"VOLTAGE_NOM_V";"VZ_TYP_V";
"R16";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R17";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R19";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"R20";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"RI";"ORANGE";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"KMR621NGLFS";"KMR621NGLFS";"SW_KMR621NGLFS";"Tactile Switches 50mA 32VDC 1.9mmH 2N IP67";"Unavailable";"";"";"";"";"";"";"";"";"";"";"";"";"";" Tactile Switch SPST-NO Top Actuated Surface Mount ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C&K";"";"";"";"";"";"KMR621NG LFS";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SV1";"";"FE15-1";"FE15";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SV2";"";"FE15-1";"FE15";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"PCM12SMTR";"PCM12SMTR";"SW_PCM12SMTR";"Switch Slide ON ON SPDT Side Slide 0.3A 6VDC 10000Cycles Gull Wing SMD T/R";"Unavailable";"";"";"";"";"";"";"";"";"";"";"";"";"";" Slide Switch SPDT Surface Mount, Right Angle ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C&K";"";"";"";"";"";"PCM12SMTR";"";"";"";"";"";"DO-201 C&amp";"K Components";"";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW2";"PCM12SMTR";"PCM12SMTR";"SW_PCM12SMTR";"Switch Slide ON ON SPDT Side Slide 0.3A 6VDC 10000Cycles Gull Wing SMD T/R";"Unavailable";"";"";"";"";"";"";"";"";"";"";"";"";"";" Slide Switch SPDT Surface Mount, Right Angle ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C&K";"";"";"";"";"";"PCM12SMTR";"";"";"";"";"";"DO-201 C&amp";"K Components";"";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"";"GSM_SIM800L";"SIM800L";"SIM800K Quad-Band GSM/GPRS Module";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TEXAS_INSTRUMENTS_SN74HC125TEXAS_INSTRUMENTS_SN74HC125_0_0";"TEXAS_INSTRUMENTS_SN74HC125TEXAS_INSTRUMENTS_SN74HC125_0_0";"TEXAS_INSTRUMENTS_SN74HC125_0";"TI-SN74HC125-D0014A-14";"";"4";"";"1347642";"";"MS-012";"";"";"";"";"";"";"";"SCLS104D";"";"";"";"Level C";"Level B";"Level A";"28";"";"0.16";"yes";"vault";"1521847871";"CMOS";"";"";"";"";"Texas Instruments";"";"";"";"";"";"";"SN74HC125";"";"";"-40 to 85";"CMOS";"D0014A";"";"";"http://www.ti.com/lit/ml/mpds177g/mpds177g.pdf";"";"dot";"dot";"dot";"dot";"";"";"";"U";"";"";"Catalog";"1459237643";"";"";"";"";"";"26";"";"3C6FD517-640E-4127-B90A-BA192E753297";"33E4D10A-39F8-41E5-8A10-D32CFAC933D3";"6";"2";"6";"";
"U3";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPBTEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0_0";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPBTEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0_0";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0";"PM-REG-LM1086-SOT4";"";"";"";"19361124";"SOT223-4";"TO-261-AA";"";"Datasheet URL";"http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM1117-N&fileType=pdf";"";"";"LDO IC";"";"";"";"";"";"Level C";"Level B";"Level A";"";"Y";"";"yes";"vault";"1521845365";"";"";"";"";"";"Texas Instruments";"";"";"";"";"";"";"LM1117IMP-3.3/NOPB";"";"";"";"";"DCY0004A";"Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch";"XYTT*N05B";"";"";"";"";"";"";"4";"";"N";"U";"";"";"";"1464077430";"";"Yes";"";"";"";"";"";"7E820BF6-F141-44C1-8A74-392CB201F257";"16019014-2FBF-4157-ADF5-B132B4DC413A";"";"";"";"";
"X1";"53048-08";"53048-08";"53048-08";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"WALDOM/MOLEX";"";"";"";"";"";"";"53048-0810";"9733094";"38C9913";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"SIMLOCK-C707_10M006_512_2";"SIMLOCK-C707_10M006_512_2";"C707_10M006_512_2";"C707A SIMLOCK® 2.5 mm with wide solder tails";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"50 Ohms";"SMACONNECTOR_EDGE_UFL";"SMA_EDGELAUNCH_UFL";"SMA Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
